date,home_team,home_score,away_team,away_score,home_Rk,home_Team,home_Conf,home_G,home_Rec,home_Conf Rec,home_AdjOE,home_AdjDE,home_Barthag,home_EFG%,home_EFGD%,home_TOR,home_TORD,home_ORB,home_DRB,home_FTR,home_FTRD,home_2P%,home_2P%D,home_3P%,home_3P%D,home_3PR,home_3PRD,home_Adj T.,home_WAB,away_Rk,away_Team,away_Conf,away_G,away_Rec,away_Conf Rec,away_AdjOE,away_AdjDE,away_Barthag,away_EFG%,away_EFGD%,away_TOR,away_TORD,away_ORB,away_DRB,away_FTR,away_FTRD,away_2P%,away_2P%D,away_3P%,away_3P%D,away_3PR,away_3PRD,away_Adj T.,away_WAB
20171111,Duke,99,Utah Valley,69,26,Duke,ACC,1,1–0,0–0,119.721,93.375,.946426,63.518,50.8130,15.948,19.9109,39.533,17.524,14.9219,11.15,59.249,36.726,48.013,42.4193,33.8146,52.4216,76.361,+0.0465,63,Utah Valley,WAC,1,0–1,0–0,101.7105,89.154,.820763,45.5139,43.261,28.3220,19.8114,44.417,43.9211,32.1136,34.8110,47.4131,41.251,27.8150,33.3126,32.1162,22.79,70.2160,-0.23132
20171112,Arizona,103,UMBC,78,67,Arizona,P12,1,1–0,0–0,127.97,111.8224,.825167,64.019,43.172,15.253,18.0165,52.24,27.9128,56.133,51.7228,65.920,42.279,38.576,30.8132,22.8264,22.47,71.4163,+0.01123,112,UMBC,AE,1,0–1,0–0,115.444,111.0218,.6109112,50.0121,55.3201,21.7186,17.1183,30.3123,34.4194,48.062,74.5270,52.0111,58.3211,32.0132,34.8167,50.025,48.9245,68.5223,-0.5203
20171112,Miami FL,89,Navy,55,29,Miami FL,ACC,1,1–0,0–0,100.3144,78.312,.945329,55.868,34.911,17.294,20.0123,31.6104,21.760,35.0141,9.55,67.613,34.018,26.9191,25.054,43.364,25.423,70.3185,+0.0476,105,Navy,Pat,1,1–0,0–0,100.3143,95.3102,.6437105,50.9116,49.1142,22.7204,18.5155,26.5163,14.314,32.7157,27.375,44.4170,55.6197,42.152,28.695,34.5168,50.9252,73.4126,+0.0565
20171112,Purdue,111,Chicago St.,42,62,Purdue,B10,1,1–0,0–0,124.812,108.4198,.835762,66.413,44.492,14.544,21.195,42.927,47.1260,52.542,8.64,64.325,42.077,47.423,32.3144,31.1204,38.3150,74.6104,+0.03102,259,Chicago St.,WAC,1,0–1,0–0,83.0249,111.2222,.0332259,42.6211,71.2271,26.6254,22.671,34.975,35.7203,29.5179,67.3265,48.6140,63.3240,23.1228,54.5264,42.670,42.3200,73.0134,-0.5200
20171112,Seton Hall,75,Monmouth,65,76,Seton Hall,BE,1,1–0,0–0,112.254,99.7129,.795876,56.851,51.8165,19.4137,23.554,50.05,25.7102,34.8143,28.685,57.168,43.896,37.581,41.7220,36.4145,42.9205,70.0190,+0.0392,88,Monmouth,MAAC,1,1–0,0–0,112.453,103.1163,.729888,53.989,53.8184,17.9103,11.0261,18.5239,23.377,58.825,25.870,51.3120,48.5132,41.753,39.4203,23.5258,50.0249,69.2209,+0.1720
20171112,Boston College,91,South Carolina St.,52,124,Boston College,ACC,1,1–0,0–0,111.360,109.2208,.5545124,51.5112,44.999,11.215,15.4217,36.858,17.832,27.9191,35.6139,58.065,37.032,22.2234,34.4162,26.5240,54.2263,68.7219,+0.02121,253,South Carolina St.,MEAC,1,0–1,0–0,84.1245,108.8204,.0494253,39.3242,66.1260,20.0150,18.6154,10.8271,30.8160,16.1254,32.1112,34.2257,66.7257,33.3113,43.5229,32.1193,41.1188,76.172,-0.46192
20171112,California,85,Cal Poly,82,265,California,P12,1,0–1,0–0,79.7258,113.3237,.0171265,33.9268,44.388,14.140,16.7192,28.0148,33.3183,62.920,34.3129,32.6262,43.187,25.0209,31.6138,25.8246,27.138,77.847,-1.0273,208,Cal Poly,BW,1,0–1,0–0,95.3175,107.7191,.1977208,46.7155,57.5230,15.864,23.062,14.3260,36.7212,15.0260,43.4189,37.1238,50.0140,40.063,47.4249,41.776,35.8127,67.2239,-0.5197
20171112,Iowa,92,Alabama,58,56,Iowa,B10,1,1–0,0–0,109.465,93.387,.861156,71.24,42.662,22.6203,26.622,35.770,34.9200,67.310,29.595,63.335,48.6134,54.58,23.144,42.374,42.6201,71.0172,+0.01132,70,Alabama,SEC,1,1–0,0–0,106.687,93.689,.816670,55.373,40.036,21.6185,22.965,35.174,41.3237,49.158,60.0251,50.0125,48.8138,40.761,11.85,47.440,28.347,76.468,+0.1918
20171112,N.C. State,78,Charleston Southern,56,43,N.C. State,ACC,1,1–0,0–0,121.121,100.0132,.900543,54.877,40.036,11.215,26.128,39.543,23.580,41.193,70.0268,56.475,46.7118,33.3113,20.024,24.7253,40.0167,79.628,+0.01126,272,Charleston Southern,BSth,1,0–1,0–0,90.7205,137.7273,.0081272,45.2168,68.6266,19.9145,1.4274,22.5203,27.8127,16.1254,24.356,50.0125,52.9177,25.0209,49.1258,38.7120,75.7274,74.7100,-0.37179
20171112,SMU,83,Louisiana Monroe,65,114,SMU,Amer,1,1–0,0–0,116.836,112.7232,.6032114,55.373,50.0148,17.191,21.787,34.479,30.3153,74.55,48.0213,58.362,52.0165,34.8105,32.0141,48.931,50.0249,64.6260,+0.0944,86,Louisiana Monroe,SB,1,0–1,0–0,99.1151,90.868,.732786,47.8143,54.1190,16.678,16.6196,22.5203,25.7102,15.9256,45.9203,35.7252,58.5214,44.439,30.0117,39.1113,32.893,77.749,-0.27157
20171112,Penn St.,81,Fairleigh Dickinson,57,99,Penn St.,B10,1,1–0,0–0,98.5157,92.077,.686799,40.8233,45.2106,17.191,22.085,36.664,27.5122,63.117,37.1156,41.3205,48.7137,26.3199,26.170,29.2218,37.1138,82.310,+0.0564,158,Fairleigh Dickinson,NEC,1,0–1,0–0,103.2113,107.3189,.3885158,51.8107,56.8226,23.5217,19.4136,25.7173,50.0268,28.6185,34.8132,43.8180,57.1205,41.753,37.5188,42.967,36.4129,71.0172,-0.25155
20171112,Arkansas,101,Bucknell,73,9,Arkansas,SEC,1,1–0,0–0,108.569,75.56,.98489,64.318,39.332,14.749,25.434,29.2133,34.9200,34.9142,24.657,65.920,37.539,40.959,27.688,34.9162,47.5237,72.2154,+0.0398,155,Bucknell,Pat,1,0–1,0–0,106.983,111.0219,.3939155,53.891,53.9185,11.014,17.9172,23.3195,18.535,25.8205,58.8249,48.5143,51.3156,39.472,41.7220,50.025,23.514,70.9177,-0.8237
20171112,Illinois,77,Tennessee Martin,74,13,Illinois,B10,1,1–0,0–0,121.122,88.657,.973213,54.087,39.231,13.232,29.011,45.222,24.387,58.727,45.1200,66.715,42.581,19.0252,18.215,33.3175,21.65,76.172,+0.02119,108,Tennessee Martin,OVC,1,0–1,0–0,123.117,118.1254,.6186108,61.729,57.2229,27.8260,15.2220,42.431,43.9250,23.4225,49.3220,60.546,74.2271,42.351,28.9102,40.695,55.1266,64.2264,-0.6211
20171112,Wisconsin,89,Yale,61,61,Wisconsin,B10,1,1–0,0–0,99.4149,85.938,.841861,66.114,39.332,18.6122,20.0123,30.8117,10.84,32.1160,16.120,66.715,34.219,43.545,33.3147,41.186,32.182,67.5232,+0.01131,126,Yale,Ivy,1,0–1,0–0,109.764,108.3196,.5363126,51.5112,64.7258,17.395,14.6228,24.3187,25.093,15.2259,14.713,56.475,74.4272,29.6158,32.0141,40.987,36.8132,72.3150,-0.26156
20171112,Arkansas Pine Bluff,57,Troy,81,228,Arkansas Pine Bluff,SWAC,1,0–1,0–0,96.6170,113.6241,.1346228,45.6165,52.9178,20.0150,20.0123,27.0157,31.0161,42.189,82.4274,35.5253,67.7263,38.576,20.024,45.648,39.2162,75.687,-0.8240,188,Troy,SB,1,0–1,0–0,98.4158,107.0188,.2761188,47.7145,58.5238,16.678,15.3219,31.7100,17.121,46.272,21.537,51.2122,51.3156,27.3186,46.2241,33.8173,40.0167,74.7100,-0.9261
20171112,Creighton,109,Alcorn St.,72,64,Creighton,BE,1,1–0,0–0,119.528,104.2172,.829564,64.717,51.5160,14.647,17.3181,25.0175,24.387,14.7261,15.216,74.43,56.4200,32.0132,29.6114,36.8142,40.9187,74.4108,+0.0756,258,Alcorn St.,SWAC,1,0–1,0–0,94.3186,124.5266,.0392258,42.4216,70.3269,23.3214,10.2264,31.6104,39.1229,22.0234,40.7181,54.389,62.5237,16.7261,57.9271,40.789,32.286,68.7219,-0.45190
20171112,Indiana,86,Howard,77,263,Indiana,B10,1,0–1,0–0,95.1176,131.7270,.0231263,51.1115,76.5273,26.5251,26.524,26.7159,22.772,73.36,36.7150,63.037,52.2166,22.2234,65.4273,40.0100,53.1261,69.8194,-0.9254,171,Howard,MEAC,1,0–1,0–0,103.2112,110.4215,.3170171,43.1200,57.8232,16.167,20.1120,31.899,32.4181,38.5110,44.8198,33.3259,63.4242,38.576,29.4106,40.0100,29.359,77.651,-0.7230
20171112,Hawaii,81,North Dakota,78,149,Hawaii,BW,1,1–0,0–0,102.7119,105.7179,.4183149,52.996,45.6111,20.0150,20.0123,31.0114,27.0119,82.41,42.1187,67.710,35.521,20.0246,38.5198,39.2111,45.6226,75.882,+0.01124,135,North Dakota,BSky,1,1–0,0–0,103.1114,102.8161,.5090135,58.537,47.7130,15.357,16.6196,17.1247,31.7173,21.5239,46.2204,51.3120,51.2154,46.228,27.384,40.0100,33.8103,78.542,+0.1528
20171113,Wichita St.,81,Charleston,63,4,Wichita St.,Amer,1,1–0,0–0,127.39,79.314,.99574,71.14,34.611,17.496,17.4197,29.6136,14.015,35.9142,26.270,63.433,23.12,56.57,34.6174,35.9154,40.0187,79.038,+0.0499,190,Charleston,CAA,1,1–0,0–0,81.2276,87.144,.3089190,36.4284,41.752,7.74,30.87,23.1210,28.2142,37.1128,23.344,40.0237,41.369,20.0274,28.698,35.7155,23.314,71.5181,+0.03114
20171113,USC,75,North Dakota St.,65,1,USC,P12,1,1–0,0–0,102.8133,58.91,.99841,48.5146,25.01,16.473,26.526,31.7107,29.1150,36.8133,48.3238,40.9232,29.310,41.758,10.52,35.3162,31.789,77.849,+0.0854,233,North Dakota St.,Sum,1,0–1,0–0,106.098,121.3287,.1755233,47.2166,62.3273,12.522,9.4292,20.0245,26.7122,37.0132,49.1240,48.4146,48.4144,30.4166,54.5289,42.678,41.5215,65.4281,-0.6221
20171113,Cincinnati,102,Western Carolina,51,102,Cincinnati,Amer,1,1–0,0–0,101.2148,93.290,.7203102,55.282,43.985,21.7203,18.5170,50.03,14.919,27.9216,21.632,59.651,43.393,33.3129,29.5117,45.355,59.5295,76.373,+0.02124,228,Western Carolina,SC,1,0–1,0–0,89.1239,101.0150,.1905228,44.6198,55.6224,26.6277,20.0132,20.5238,25.0102,25.0237,57.4271,40.0237,52.5183,37.590,42.9243,28.6251,25.928,77.752,-0.24164
20171113,Notre Dame,88,Mount St. Mary's,62,20,Notre Dame,ACC,1,1–0,0–0,120.723,91.069,.962620,58.541,37.725,13.937,6.2298,19.4252,24.497,30.2194,24.657,50.0128,39.550,44.442,22.741,50.923,33.8115,63.1295,+0.476,253,Mount St. Mary's,NEC,1,0–1,0–0,85.8258,102.8176,.1101253,52.0114,56.1233,23.5237,16.2225,13.8284,33.3198,21.6263,36.8160,69.69,63.9272,25.0235,28.698,54.912,36.8149,67.1264,-0.34181
20171113,Providence,74,Minnesota,86,58,Providence,BE,1,1–0,0–0,99.8160,85.235,.861058,56.558,34.912,16.577,24.847,33.391,34.0205,35.5150,25.463,52.3110,39.046,44.442,18.215,29.0247,34.9127,67.4258,+0.02131,165,Minnesota,B10,1,1–0,0–0,98.6168,101.8163,.4086165,52.1110,48.5150,16.885,15.6237,45.521,24.497,44.386,23.551,54.883,32.413,32.1151,45.2258,40.0106,45.6255,76.471,+0.02133
20171113,Xavier,101,Rider,75,2,Xavier,BE,1,1–0,0–0,129.36,74.24,.99832,79.21,29.73,20.6178,23.363,29.2143,30.6165,52.841,37.3168,75.01,19.41,57.15,30.4130,39.6114,39.0179,72.4162,+0.03109,156,Rider,MAAC,1,1–0,0–0,108.775,110.6236,.4508156,51.5123,49.2156,11.917,21.2103,38.055,26.3116,50.052,27.074,37.8256,44.2108,45.237,40.0222,45.651,31.789,72.1172,+0.0490
20171113,Northwestern,75,Saint Peter's,66,191,Northwestern,B10,1,1–0,0–0,94.2205,101.0151,.3077191,45.1190,47.5132,18.7131,22.577,27.3168,29.3154,60.718,49.2245,50.0128,38.141,23.8248,47.1271,34.4179,28.854,79.823,+0.02125,280,Saint Peter's,MAAC,1,0–1,0–0,71.7294,93.998,.0431280,37.8273,54.3207,27.6282,21.1104,17.6260,22.272,10.2293,29.8102,27.6293,53.6195,35.0112,36.8202,40.895,40.4198,60.9298,-0.7224
20171113,Evansville,68,North Carolina Central,55,101,Evansville,MVC,1,1–0,0–0,100.4157,92.480,.7227101,50.0130,44.9101,18.7131,23.068,29.4137,33.3198,66.76,20.328,52.9101,47.5139,29.4184,26.375,33.3191,32.296,68.0251,+0.04102,247,North Carolina Central,MEAC,1,0–1,0–0,84.6265,99.7144,.1306247,47.2166,46.4120,32.7296,19.3153,34.484,30.6165,11.1290,32.1114,42.9205,50.0157,41.758,27.390,22.2291,39.3185,63.6293,-0.8245
20171113,Mississippi,85,Eastern Kentucky,75,47,Mississippi,SEC,1,1–0,0–0,117.831,97.5128,.898247,56.266,42.362,18.0109,16.7214,41.039,34.7215,47.766,32.4117,59.156,37.538,33.3129,34.8176,32.3209,32.4100,75.495,+0.2612,212,Eastern Kentucky,OVC,1,1–0,0–0,94.1206,103.5184,.2508212,43.1221,43.176,17.5103,17.5193,31.7107,28.6143,29.2201,55.2265,50.0128,43.393,22.2262,28.698,41.585,48.3272,74.7108,+0.1137
20171113,Belmont,69,Vanderbilt,60,93,Belmont,OVC,1,0–1,0–0,116.041,105.5198,.748893,56.953,57.7247,20.7179,19.4149,26.5175,25.0102,18.5274,69.2293,64.722,58.5234,32.3149,36.4195,47.736,21.25,75.886,-0.6209,37,Vanderbilt,SEC,1,1–0,0–0,103.9120,84.332,.916537,52.6106,43.581,22.4216,25.435,42.131,28.1140,32.8169,22.237,51.5118,46.3132,36.0102,23.144,43.174,24.116,66.1275,+0.0856
