date,home_team,home_score,away_team,away_score,home_Rk,home_Team,home_Conf,home_G,home_Rec,home_Conf Rec,home_AdjOE,home_AdjDE,home_Barthag,home_EFG%,home_EFGD%,home_TOR,home_TORD,home_ORB,home_DRB,home_FTR,home_FTRD,home_2P%,home_2P%D,home_3P%,home_3P%D,home_3PR,home_3PRD,home_Adj T.,home_WAB,away_Rk,away_Team,away_Conf,away_G,away_Rec,away_Conf Rec,away_AdjOE,away_AdjDE,away_Barthag,away_EFG%,away_EFGD%,away_TOR,away_TORD,away_ORB,away_DRB,away_FTR,away_FTRD,away_2P%,away_2P%D,away_3P%,away_3P%D,away_3PR,away_3PRD,away_Adj T.,away_WAB
20181108,George Washington,61,Siena,69,109,George Washington,A10,1,0–1,0–0,101.798,102.5119,.4794109,52.777,42.952,21.9151,15.5159,26.3136,39.1172,61.815,38.6128,57.150,47.794,30.0122,23.139,36.4128,37.192,67.5175,-0.9202,129,Siena,MAAC,1,0–1,0–0,119.422,125.8208,.3537129,56.944,67.0209,21.4145,24.736,31.097,44.0193,25.5150,13.25,47.8116,57.1158,42.931,52.0204,54.99,47.2164,60.8209,-0.47150
20181108,Notre Dame,89,Chicago St.,62,21,Notre Dame,ACC,1,1–0,0–0,113.638,87.332,.953921,38.7184,42.247,20.8139,16.9136,42.924,25.059,61.316,31.390,45.0134,51.4122,18.2191,20.731,35.5134,45.3149,74.367,+0.0928,204,Chicago St.,WAC,1,0–1,0–0,83.6189,114.5182,.0261204,35.8195,61.6192,24.7176,16.1149,21.7176,41.0185,35.0101,47.8170,35.9190,66.7198,23.8166,33.3108,35.0138,30.441,81.612,-0.39139
20181108,South Dakota St.,78,Alabama,61,62,South Dakota St.,Sum,1,1–0,0–0,109.556,101.0107,.717262,54.364,40.734,22.1153,8.3209,38.942,27.789,44.856,28.678,51.293,41.751,41.241,26.570,29.3176,48.6182,72.2106,+0.1715,68,Alabama,SEC,1,1–0,0–0,103.986,96.883,.694068,57.339,40.936,27.5191,20.677,44.415,27.585,50.933,54.5185,58.148,47.490,37.564,17.616,43.677,30.944,74.563,+0.0292
20181109,Nevada,83,Pacific,61,39,Nevada,MWC,1,1–0,0–0,103.892,87.834,.873939,43.9158,42.045,10.110,10.1215,23.9166,19.629,59.119,27.582,44.7149,52.6141,28.6139,19.426,42.494,44.9151,75.258,+0.2012,65,Pacific,WCC,1,1–0,0–0,97.7133,90.447,.709865,57.144,46.486,28.6212,16.3157,29.6114,14.612,44.957,46.4174,61.533,56.0164,34.893,25.864,46.954,55.4217,71.5127,+0.0645
20181109,Elon,67,North Carolina,116,87,Elon,CAA,1,1–0,0–0,98.1130,93.461,.636787,55.653,39.231,27.3201,18.2117,24.1165,33.3142,40.084,13.85,56.560,33.312,36.482,31.098,48.932,44.6148,72.3109,+0.0741,11,North Carolina,ACC,1,1–0,0–0,120.416,84.625,.983011,56.845,45.278,21.5156,12.9198,35.767,26.582,25.4158,17.519,54.175,53.6149,40.946,25.763,37.3130,55.6219,71.8116,+0.83
20181109,Auburn,88,Washington,66,5,Auburn,SEC,1,1–0,0–0,129.14,85.728,.99115,63.515,44.672,17.9102,30.38,50.05,25.877,18.9198,47.8180,55.665,41.752,47.420,31.8106,51.420,47.8178,74.075,+0.0742,32,Washington,P12,1,1–0,0–0,101.6104,84.324,.894632,43.8159,42.546,11.414,22.855,31.696,20.634,30.8132,30.292,52.588,37.529,20.0196,38.5163,38.5122,24.516,70.3142,+0.1616
20181109,Oregon,81,Eastern Washington,47,34,Oregon,P12,1,1–0,0–0,109.260,91.050,.889934,58.033,32.28,20.5142,16.1160,38.547,47.2213,66.07,21.941,53.579,42.155,57.12,14.36,14.0222,47.9179,66.5192,+0.0477,220,Eastern Washington,BSky,1,0–1,0–0,59.3223,86.531,.0128220,27.1223,41.138,27.9206,14.7179,27.5133,37.0168,13.6219,45.2171,29.2219,46.786,17.1214,17.616,59.33,27.429,70.0146,-0.29134
20181109,LSU,97,UNC Greensboro,91,13,LSU,SEC,1,1–0,0–0,129.43,93.058,.977913,53.076,47.290,12.723,28.215,48.78,33.3142,47.045,35.2121,61.929,48.4108,25.0164,30.494,36.4140,42.6133,73.391,+0.0555,102,UNC Greensboro,SC,1,1–0,0–0,114.836,113.2184,.5405102,52.382,50.9130,22.3167,19.1105,54.31,41.0196,15.6212,37.5130,61.732,39.541,17.6206,50.0212,26.6201,32.154,64.7208,+0.1024
20181109,Providence,80,Wichita St.,83,63,Providence,BE,1,1–0,0–0,122.89,113.2183,.718263,67.04,56.9180,24.7188,21.471,44.021,31.0123,13.2220,25.567,57.153,47.8101,52.09,42.9192,47.251,54.9215,68.2176,+0.0553,193,Wichita St.,Amer,1,0–1,0–0,80.0209,96.281,.1067193,43.5163,48.098,20.3140,24.442,22.9175,35.7157,48.141,68.0220,44.8147,52.9143,28.0147,25.050,46.361,32.051,76.544,-0.9206
20181109,Colgate,87,Monmouth,74,145,Colgate,Pat,1,0–1,0–0,119.421,128.0222,.3101145,52.880,57.3183,16.878,12.2205,41.928,26.582,50.934,49.1186,54.373,44.171,33.396,52.4218,34.0154,38.2101,59.0224,-0.8196,216,Monmouth,MAAC,1,0–1,0–0,76.6213,103.1129,.0315216,37.5204,58.5196,20.5142,23.052,12.2222,32.4134,42.966,42.4153,42.9165,56.3166,19.0202,40.7176,37.5126,45.8161,74.369,-0.9210
20181109,Iowa St.,76,Missouri,59,45,Iowa St.,B12,1,1–0,0–0,99.2119,86.430,.830745,55.256,44.571,19.7130,28.215,36.162,23.754,10.4224,18.222,53.777,37.934,38.558,34.6131,38.8116,47.3175,71.6122,+0.0298,50,Missouri,SEC,1,1–0,0–0,90.3186,81.320,.769650,48.4122,41.037,15.657,18.4114,26.2143,17.116,20.3192,13.12,50.0102,29.47,30.8128,37.0150,40.6106,44.3145,67.5183,+0.0386
20181109,UNC Wilmington,59,Stanford,72,120,UNC Wilmington,CAA,1,0–1,0–0,110.852,113.1182,.4399120,57.934,54.9169,22.1163,8.6221,32.488,23.855,42.966,34.7116,41.2177,51.3131,51.710,39.4170,46.064,45.8161,74.565,-0.7193,46,Stanford,P12,1,1–0,0–0,125.77,111.2174,.803846,61.621,48.4104,17.696,14.9176,35.767,30.0112,58.920,32.8108,43.9156,47.8101,73.31,33.3115,26.8200,28.131,74.274,+0.1028
